Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
85068-161891,G,Dylan,Dylan Garand,Garand,,,6500,NYI@NYR,NYR,NYI,,,,,,G
85068-161892,G,Talyn,Talyn Boyko,Boyko,,,6500,NYI@NYR,NYR,NYI,,,,,,G
85068-82036,G,Matt,Matt Villalta,Villalta,,,6500,CGY@LA,LA,CGY,,,,,,G
85068-161908,G,Garin,Garin Bjorklund,Bjorklund,,,6500,WSH@OTT,WSH,OTT,,,,,,G
85068-166031,G,Taylor,Taylor Gauthier,Gauthier,,,6500,CAR@PIT,PIT,CAR,,,,,,G
85068-14483,G,Louis,Louis Domingue,Domingue,19.200000762939453,8,6500,NYI@NYR,NYR,NYI,,,,,,G
85068-9366,G,Dustin,Dustin Tokarski,Tokarski,13.706667073567708,30,6500,CAR@PIT,PIT,CAR,,,,,,G
85068-180384,G,Henrik,Henrik Tikkanen,Tikkanen,,,6500,NYI@NYR,NYI,NYR,,,,,,G
85068-180393,G,Mason,Mason Beaupit,Beaupit,,,6500,MIN@SJ,SJ,MIN,,,,,,G
85068-82098,G,Michael,Michael DiPietro,DiPietro,-0.800000011920929,1,6500,WPG@BOS,BOS,WPG,,,,,,G
85068-168113,G,Clay,Clay Stevenson,Stevenson,,,6500,WSH@OTT,WSH,OTT,,,,,,G
85068-66743,G,Kenneth,Kenneth Appleby,Appleby,,,6500,NYI@NYR,NYI,NYR,,,,,,G
85068-168116,G,David,David Hrenak,Hrenak,,,6500,CGY@LA,LA,CGY,,,,,,G
85068-73910,G,Zach,Zach Sawchenko,Sawchenko,8.685714176722936,7,6500,CAR@PIT,CAR,PIT,,,,,,G
85068-180410,G,Ty,Ty Young,Young,,,6500,SEA@VAN,VAN,SEA,,,,,,G
85068-149699,G,Eetu,Eetu Makiniemi,Makiniemi,11.600000381469727,2,6500,MIN@SJ,SJ,MIN,,,,,,G
85068-180423,G,Domenic,Domenic DiVincentiis,DiVincentiis,,,6500,WPG@BOS,WPG,BOS,,,,,,G
85068-116948,G,Arturs,Arturs Silovs,Silovs,,,6500,SEA@VAN,VAN,SEA,,,,,,G
85068-8426,D,Brent,Brent Burns,Burns,12.971875190734863,32,6500,CAR@PIT,CAR,PIT,,,,,,D/UTIL
85068-66796,G,Callum,Callum Booth,Booth,,,6500,SEA@VAN,SEA,VAN,,,,,,G
85068-52475,C,Evgeny,Evgeny Kuznetsov,Kuznetsov,11.481817996863162,33,6500,WSH@OTT,WSH,OTT,,,,,,C/UTIL
85068-170240,G,Olof,Olof Lindbom,Lindbom,,,6500,NYI@NYR,NYR,NYI,,,,,,G
85068-82178,G,Kyle,Kyle Keyser,Keyser,,,6500,WPG@BOS,BOS,WPG,,,,,,G
85068-117021,G,Hunter,Hunter Jones,Jones,,,6500,MIN@SJ,MIN,SJ,,,,,,G
85068-82204,G,Parker,Parker Gahagen,Gahagen,,,6500,NYI@NYR,NYR,NYI,,,,,,G
85068-170275,G,Jesper,Jesper Wallstedt,Wallstedt,,,6500,MIN@SJ,MIN,SJ,,,,,,G
85068-117055,G,Dustin,Dustin Wolf,Wolf,,,6500,CGY@LA,CGY,LA,,,,,,G
85068-74053,G,Mikhail,Mikhail Berdin,Berdin,,,6500,WPG@BOS,WPG,BOS,,,,,,G
85068-117110,G,Mads,Mads Sogaard,Sogaard,13.199999809265137,2,6500,WSH@OTT,OTT,WSH,,,,,,G
85068-168320,G,Brandon,Brandon Bussi,Bussi,,,6500,WPG@BOS,BOS,WPG,,,,,,G
85068-162243,G,Patrik,Patrik Hamrla,Hamrla,,,6500,CAR@PIT,CAR,PIT,,,,,,G
85068-162288,G,Tristan,Tristan Lennox,Lennox,,,6500,NYI@NYR,NYI,NYR,,,,,,G
85068-162300,G,Benjamin,Benjamin Gaudreau,Gaudreau,,,6500,MIN@SJ,SJ,MIN,,,,,,G
